59 89 30
5 49 17 1
5 49 18 1
5 50 16 1
5 50 17 1
5 50 18 1
5 51 16 1
5 51 17 1
5 51 18 1
5 52 17 1
5 53 13 1
5 53 14 1
5 53 15 1
5 54 14 1
5 54 15 4
5 55 9 4
5 55 10 4
5 55 11 1
5 56 9 4
5 56 10 4
5 56 11 4
5 57 10 1
5 57 11 1
6 49 15 1
6 49 16 1
6 49 17 1
6 49 18 1
6 49 19 1
6 50 13 1
6 50 14 1
6 50 15 1
6 50 16 0
6 50 17 0
6 50 18 0
6 50 19 1
6 51 12 1
6 51 13 1
6 51 14 1
6 51 15 1
6 51 16 0
6 51 17 0
6 51 18 0
6 51 19 1
6 52 12 1
6 52 13 1
6 52 14 4
6 52 15 1
6 52 16 1
6 52 17 0
6 52 18 1
6 53 12 1
6 53 13 0
6 53 14 0
6 53 15 0
6 53 16 1
6 53 17 1
6 53 18 1
6 54 9 4
6 54 10 1
6 54 12 1
6 54 13 1
6 54 14 0
6 54 15 0
6 54 16 1
6 54 17 1
6 55 9 4
6 55 10 0
6 55 11 1
6 55 12 1
6 55 13 1
6 55 14 1
6 55 15 1
6 55 16 4
6 55 17 1
6 56 9 4
6 56 10 0
6 56 11 0
6 56 12 1
6 56 13 1
6 56 14 1
6 56 15 1
6 56 16 1
6 56 17 1
6 57 10 4
6 57 11 1
6 57 13 1
6 57 14 1
6 57 15 1
6 57 16 1
7 48 17 1
7 48 18 1
7 48 19 4
7 49 13 1
7 49 14 1
7 49 15 1
7 49 16 1
7 49 17 0
7 49 18 0
7 49 19 1
7 50 12 1
7 50 13 0
7 50 14 0
7 50 15 0
7 50 16 0
7 50 17 0
7 50 18 0
7 50 19 1
7 51 12 1
7 51 13 0
7 51 14 0
7 51 15 0
7 51 16 0
7 51 17 0
7 51 18 0
7 51 19 1
7 52 12 1
7 52 13 0
7 52 14 0
7 52 15 0
7 52 16 0
7 52 17 0
7 52 18 0
7 52 19 1
7 53 11 1
7 53 12 0
7 53 13 0
7 53 14 0
7 53 15 0
7 53 16 0
7 53 17 0
7 53 18 0
7 53 19 1
7 54 10 4
7 54 11 1
7 54 12 0
7 54 13 0
7 54 14 0
7 54 15 0
7 54 16 0
7 54 17 0
7 54 18 1
7 55 9 4
7 55 10 0
7 55 11 0
7 55 12 0
7 55 13 0
7 55 14 0
7 55 15 0
7 55 16 0
7 55 17 0
7 55 18 1
7 56 9 4
7 56 10 0
7 56 11 0
7 56 12 0
7 56 13 0
7 56 14 0
7 56 15 0
7 56 16 0
7 56 17 0
7 56 18 1
7 57 10 5
7 57 11 4
7 57 12 1
7 57 13 0
7 57 14 0
7 57 15 0
7 57 16 0
7 57 17 1
7 58 13 1
7 58 14 1
7 58 15 1
7 58 16 4
7 58 17 1
7 59 14 1
7 59 15 4
8 48 14 1
8 48 15 4
8 48 16 1
8 48 17 1
8 48 18 1
8 49 12 1
8 49 13 1
8 49 14 0
8 49 15 0
8 49 16 0
8 49 17 0
8 49 18 0
8 49 19 1
8 50 12 1
8 50 13 0
8 50 14 0
8 50 15 0
8 50 16 0
8 50 17 0
8 50 18 0
8 50 19 0
8 50 20 1
8 51 11 1
8 51 12 0
8 51 13 0
8 51 14 0
8 51 15 0
8 51 16 0
8 51 17 0
8 51 18 0
8 51 19 0
8 51 20 1
8 52 11 1
8 52 12 0
8 52 13 0
8 52 14 0
8 52 15 0
8 52 16 0
8 52 17 0
8 52 18 0
8 52 19 1
8 53 11 1
8 53 12 0
8 53 13 0
8 53 14 0
8 53 15 0
8 53 16 0
8 53 17 0
8 53 18 0
8 53 19 1
8 54 10 1
8 54 11 0
8 54 12 0
8 54 13 0
8 54 14 0
8 54 15 0
8 54 16 0
8 54 17 0
8 54 18 0
8 54 19 1
8 55 10 1
8 55 11 0
8 55 12 0
8 55 13 0
8 55 14 0
8 55 15 0
8 55 16 0
8 55 17 0
8 55 18 1
8 56 10 1
8 56 11 0
8 56 12 0
8 56 13 0
8 56 14 0
8 56 15 0
8 56 16 0
8 56 17 0
8 56 18 1
8 57 10 4
8 57 11 0
8 57 12 0
8 57 13 0
8 57 14 0
8 57 15 0
8 57 16 0
8 57 17 0
8 57 18 1
8 58 11 1
8 58 12 1
8 58 13 0
8 58 14 0
8 58 15 0
8 58 16 0
8 58 17 1
8 59 12 1
8 59 13 1
8 59 14 0
8 59 15 0
8 59 16 4
8 59 17 1
8 60 13 1
8 60 14 1
8 60 15 4
9 47 15 1
9 47 16 1
9 48 13 1
9 48 14 1
9 48 15 0
9 48 16 0
9 48 17 1
9 48 18 1
9 49 12 1
9 49 13 0
9 49 14 0
9 49 15 0
9 49 16 0
9 49 17 0
9 49 18 0
9 49 19 1
9 50 11 1
9 50 12 0
9 50 13 0
9 50 14 0
9 50 15 0
9 50 16 0
9 50 17 0
9 50 18 0
9 50 19 1
9 51 11 1
9 51 12 0
9 51 13 0
9 51 14 0
9 51 15 0
9 51 16 0
9 51 17 0
9 51 18 0
9 51 19 0
9 51 20 1
9 52 10 1
9 52 11 0
9 52 12 0
9 52 13 0
9 52 14 0
9 52 15 0
9 52 16 0
9 52 17 0
9 52 18 0
9 52 19 0
9 52 20 1
9 53 10 1
9 53 11 0
9 53 12 0
9 53 13 0
9 53 14 0
9 53 15 0
9 53 16 0
9 53 17 0
9 53 18 0
9 53 19 1
9 54 10 1
9 54 11 0
9 54 12 0
9 54 13 0
9 54 14 0
9 54 15 0
9 54 16 0
9 54 17 0
9 54 18 0
9 54 19 1
9 55 10 1
9 55 11 0
9 55 12 0
9 55 13 0
9 55 14 0
9 55 15 0
9 55 16 0
9 55 17 0
9 55 18 0
9 55 19 1
9 56 10 1
9 56 11 0
9 56 12 0
9 56 13 0
9 56 14 0
9 56 15 0
9 56 16 0
9 56 17 0
9 56 18 0
9 56 19 1
9 57 10 1
9 57 11 0
9 57 12 0
9 57 13 0
9 57 14 0
9 57 15 0
9 57 16 0
9 57 17 0
9 57 18 1
9 58 11 1
9 58 12 0
9 58 13 0
9 58 14 0
9 58 15 0
9 58 16 0
9 58 17 0
9 58 18 1
9 59 12 1
9 59 13 0
9 59 14 0
9 59 15 0
9 59 16 0
9 59 17 1
9 60 12 1
9 60 13 0
9 60 14 0
9 60 15 0
9 60 16 4
9 60 17 1
9 61 13 1
9 61 14 1
9 61 15 1
9 61 16 4
10 47 14 1
10 47 15 1
10 47 16 1
10 47 17 1
10 48 13 1
10 48 14 0
10 48 15 0
10 48 16 0
10 48 17 0
10 48 18 4
10 49 12 1
10 49 13 0
10 49 14 0
10 49 15 0
10 49 16 0
10 49 17 0
10 49 18 0
10 49 19 1
10 50 11 1
10 50 12 0
10 50 13 0
10 50 14 0
10 50 15 0
10 50 16 0
10 50 17 0
10 50 18 0
10 50 19 1
10 51 10 1
10 51 11 0
10 51 12 0
10 51 13 0
10 51 14 0
10 51 15 0
10 51 16 0
10 51 17 0
10 51 18 0
10 51 19 0
10 51 20 1
10 52 10 1
10 52 11 0
10 52 12 0
10 52 13 0
10 52 14 0
10 52 15 0
10 52 16 0
10 52 17 0
10 52 18 0
10 52 19 0
10 52 20 1
10 53 9 1
10 53 10 0
10 53 11 0
10 53 12 0
10 53 13 0
10 53 14 0
10 53 15 0
10 53 16 0
10 53 17 0
10 53 18 0
10 53 19 0
10 53 20 1
10 54 9 1
10 54 10 0
10 54 11 0
10 54 12 0
10 54 13 0
10 54 14 0
10 54 15 0
10 54 16 0
10 54 17 0
10 54 18 0
10 54 19 0
10 54 20 1
10 55 10 1
10 55 11 0
10 55 12 0
10 55 13 0
10 55 14 0
10 55 15 0
10 55 16 0
10 55 17 0
10 55 18 0
10 55 19 1
10 56 10 1
10 56 11 0
10 56 12 0
10 56 13 0
10 56 14 0
10 56 15 0
10 56 16 0
10 56 17 0
10 56 18 0
10 56 19 1
10 57 10 1
10 57 11 0
10 57 12 0
10 57 13 0
10 57 14 0
10 57 15 0
10 57 16 0
10 57 17 0
10 57 18 0
10 57 19 1
10 58 10 1
10 58 11 0
10 58 12 0
10 58 13 0
10 58 14 0
10 58 15 0
10 58 16 0
10 58 17 0
10 58 18 1
10 59 11 1
10 59 12 0
10 59 13 0
10 59 14 0
10 59 15 0
10 59 16 0
10 59 17 0
10 59 18 1
10 60 11 1
10 60 12 0
10 60 13 0
10 60 14 0
10 60 15 0
10 60 16 0
10 60 17 1
10 61 12 1
10 61 13 0
10 61 14 0
10 61 15 0
10 61 16 0
10 61 17 1
10 62 13 1
10 62 14 1
10 62 15 1
10 62 16 4
11 47 14 1
11 47 15 1
11 47 16 1
11 47 17 1
11 48 12 1
11 48 13 1
11 48 14 0
11 48 15 0
11 48 16 0
11 48 17 0
11 48 18 1
11 49 11 1
11 49 12 0
11 49 13 0
11 49 14 0
11 49 15 0
11 49 16 0
11 49 17 0
11 49 18 0
11 49 19 1
11 50 10 1
11 50 11 0
11 50 12 0
11 50 13 0
11 50 14 0
11 50 15 0
11 50 16 0
11 50 17 0
11 50 18 0
11 50 19 1
11 51 10 1
11 51 11 0
11 51 12 0
11 51 13 0
11 51 14 0
11 51 15 0
11 51 16 0
11 51 17 0
11 51 18 0
11 51 19 0
11 51 20 1
11 52 10 1
11 52 11 0
11 52 12 0
11 52 13 0
11 52 14 0
11 52 15 0
11 52 16 0
11 52 17 0
11 52 18 0
11 52 19 0
11 52 20 1
11 53 9 1
11 53 10 0
11 53 11 0
11 53 12 0
11 53 13 0
11 53 14 0
11 53 15 0
11 53 16 0
11 53 17 0
11 53 18 0
11 53 19 0
11 53 20 1
11 54 9 1
11 54 10 0
11 54 11 0
11 54 12 0
11 54 13 0
11 54 14 0
11 54 15 0
11 54 16 0
11 54 17 0
11 54 18 0
11 54 19 0
11 54 20 1
11 55 9 1
11 55 10 0
11 55 11 0
11 55 12 0
11 55 13 0
11 55 14 0
11 55 15 0
11 55 16 0
11 55 17 0
11 55 18 0
11 55 19 0
11 55 20 1
11 56 9 1
11 56 10 0
11 56 11 0
11 56 12 0
11 56 13 0
11 56 14 0
11 56 15 0
11 56 16 0
11 56 17 0
11 56 18 0
11 56 19 4
11 57 10 4
11 57 11 0
11 57 12 0
11 57 13 0
11 57 14 0
11 57 15 0
11 57 16 0
11 57 17 0
11 57 18 0
11 57 19 1
11 58 10 1
11 58 11 0
11 58 12 0
11 58 13 0
11 58 14 0
11 58 15 0
11 58 16 0
11 58 17 0
11 58 18 0
11 58 19 1
11 59 10 1
11 59 11 0
11 59 12 0
11 59 13 0
11 59 14 0
11 59 15 0
11 59 16 0
11 59 17 0
11 59 18 1
11 60 11 1
11 60 12 0
11 60 13 0
11 60 14 0
11 60 15 0
11 60 16 0
11 60 17 0
11 60 18 1
11 61 11 1
11 61 12 0
11 61 13 0
11 61 14 0
11 61 15 0
11 61 16 0
11 61 17 1
11 62 11 1
11 62 12 1
11 62 13 0
11 62 14 0
11 62 15 0
11 62 16 0
11 62 17 1
11 63 13 1
11 63 14 1
11 63 15 1
11 63 16 4
11 70 24 4
11 71 24 4
12 47 14 1
12 47 15 1
12 47 16 1
12 47 17 1
12 48 11 1
12 48 12 1
12 48 13 1
12 48 14 0
12 48 15 0
12 48 16 0
12 48 17 0
12 48 18 1
12 49 10 1
12 49 11 0
12 49 12 0
12 49 13 0
12 49 14 0
12 49 15 0
12 49 16 0
12 49 17 0
12 49 18 1
12 50 10 1
12 50 11 0
12 50 12 0
12 50 13 0
12 50 14 0
12 50 15 0
12 50 16 0
12 50 17 0
12 50 18 0
12 50 19 1
12 51 10 1
12 51 11 0
12 51 12 0
12 51 13 0
12 51 14 0
12 51 15 0
12 51 16 0
12 51 17 0
12 51 18 0
12 51 19 1
12 52 9 1
12 52 10 0
12 52 11 0
12 52 12 0
12 52 13 0
12 52 14 0
12 52 15 0
12 52 16 0
12 52 17 0
12 52 18 0
12 52 19 0
12 52 20 1
12 53 8 1
12 53 9 0
12 53 10 0
12 53 11 0
12 53 12 0
12 53 13 0
12 53 14 0
12 53 15 0
12 53 16 0
12 53 17 0
12 53 18 0
12 53 19 0
12 53 20 1
12 54 8 1
12 54 9 0
12 54 10 0
12 54 11 0
12 54 12 0
12 54 13 0
12 54 14 0
12 54 15 0
12 54 16 0
12 54 17 0
12 54 18 0
12 54 19 0
12 54 20 4
12 55 9 4
12 55 10 0
12 55 11 0
12 55 12 0
12 55 13 0
12 55 14 0
12 55 15 0
12 55 16 0
12 55 17 0
