91 96 57
5 83 19 1
5 83 20 4
5 83 21 4
5 83 22 4
5 84 18 4
5 84 19 1
5 84 20 4
5 84 21 4
5 84 22 4
5 85 18 1
5 85 19 4
5 85 20 4
5 85 21 4
5 85 22 4
5 86 19 4
5 86 20 1
5 86 21 4
6 82 17 1
6 82 18 1
6 82 19 1
6 82 20 1
6 82 21 1
6 83 16 1
6 83 17 1
6 83 18 1
6 83 19 0
6 83 20 0
6 83 21 0
6 83 22 4
6 83 23 4
6 84 15 1
6 84 16 1
6 84 17 1
6 84 18 0
6 84 19 0
6 84 20 0
6 84 21 0
6 84 22 0
6 84 23 1
6 85 16 1
6 85 17 1
6 85 18 0
6 85 19 0
6 85 20 0
6 85 21 0
6 85 22 0
6 85 23 4
6 86 16 4
6 86 17 1
6 86 18 1
6 86 19 4
6 86 20 0
6 86 21 0
6 86 22 4
6 87 20 4
6 87 21 4
7 77 6 1
7 77 7 1
7 78 6 1
7 78 7 1
7 78 8 1
7 79 6 1
7 79 7 1
7 79 8 1
7 80 6 1
7 80 7 1
7 80 8 1
7 80 9 1
7 81 7 1
7 81 8 1
7 81 13 1
7 81 14 1
7 81 15 1
7 81 16 1
7 81 17 1
7 81 18 1
7 81 19 1
7 82 12 1
7 82 13 1
7 82 14 1
7 82 15 1
7 82 16 1
7 82 17 0
7 82 18 0
7 82 19 0
7 82 20 1
7 82 21 1
7 82 22 4
7 83 12 1
7 83 13 1
7 83 14 1
7 83 15 1
7 83 16 0
7 83 17 0
7 83 18 0
7 83 19 0
7 83 20 0
7 83 21 0
7 83 22 0
7 83 23 4
7 83 24 4
7 84 12 1
7 84 13 1
7 84 14 1
7 84 15 0
7 84 16 0
7 84 17 0
7 84 18 0
7 84 19 0
7 84 20 0
7 84 21 0
7 84 22 0
7 84 23 0
7 84 24 4
7 85 13 1
7 85 14 1
7 85 15 1
7 85 16 0
7 85 17 0
7 85 18 0
7 85 19 0
7 85 20 0
7 85 21 0
7 85 22 0
7 85 23 0
7 85 24 1
7 86 14 1
7 86 15 1
7 86 16 1
7 86 17 1
7 86 18 1
7 86 19 4
7 86 20 0
7 86 21 0
7 86 22 0
7 86 23 4
7 87 20 1
7 87 21 4
7 87 22 4
8 77 6 1
8 77 7 1
8 77 8 1
8 78 6 1
8 78 7 0
8 78 8 0
8 78 9 1
8 79 6 1
8 79 7 0
8 79 8 0
8 79 9 1
8 79 10 1
8 80 6 4
8 80 7 0
8 80 8 0
8 80 9 0
8 80 10 1
8 80 14 1
8 80 15 1
8 80 16 1
8 80 17 1
8 80 18 1
8 80 19 1
8 81 6 1
8 81 7 1
8 81 8 0
8 81 9 1
8 81 10 1
8 81 11 1
8 81 12 1
8 81 13 1
8 81 14 0
8 81 15 0
8 81 16 0
8 81 17 0
8 81 18 0
8 81 19 0
8 81 20 4
8 82 8 1
8 82 9 1
8 82 10 1
8 82 11 4
8 82 12 0
8 82 13 0
8 82 14 0
8 82 15 0
8 82 16 0
8 82 17 0
8 82 18 0
8 82 19 0
8 82 20 0
8 82 21 4
8 82 22 4
8 83 9 1
8 83 10 1
8 83 11 1
8 83 12 0
8 83 13 0
8 83 14 0
8 83 15 0
8 83 16 0
8 83 17 0
8 83 18 0
8 83 19 0
8 83 20 0
8 83 21 0
8 83 22 0
8 83 23 1
8 83 24 4
8 84 9 4
8 84 10 1
8 84 11 1
8 84 12 0
8 84 13 0
8 84 14 0
8 84 15 0
8 84 16 0
8 84 17 0
8 84 18 0
8 84 19 0
8 84 20 0
8 84 21 0
8 84 22 0
8 84 23 0
8 84 24 4
8 85 8 1
8 85 9 1
8 85 10 1
8 85 11 1
8 85 12 1
8 85 13 0
8 85 14 0
8 85 15 0
8 85 16 0
8 85 17 0
8 85 18 0
8 85 19 0
8 85 20 0
8 85 21 0
8 85 22 0
8 85 23 0
8 85 24 1
8 86 7 1
8 86 8 1
8 86 9 1
8 86 10 1
8 86 12 1
8 86 13 1
8 86 14 1
8 86 15 1
8 86 16 1
8 86 17 1
8 86 18 1
8 86 19 1
8 86 20 0
8 86 21 0
8 86 22 4
8 86 23 4
8 87 20 1
8 87 21 1
9 77 7 1
9 77 8 1
9 77 9 1
9 78 6 1
9 78 7 0
9 78 8 0
9 78 9 0
9 78 10 1
9 79 6 1
9 79 7 0
9 79 8 0
9 79 9 0
9 79 10 1
9 79 18 1
9 80 6 1
9 80 7 0
9 80 8 0
9 80 9 0
9 80 10 0
9 80 11 1
9 80 12 1
9 80 13 1
9 80 14 1
9 80 15 1
9 80 16 1
9 80 17 1
9 80 18 0
9 80 19 1
9 81 7 1
9 81 8 0
9 81 9 0
9 81 10 0
9 81 11 0
9 81 12 0
9 81 13 0
9 81 14 0
9 81 15 0
9 81 16 0
9 81 17 0
9 81 18 0
9 81 19 0
9 81 20 1
9 82 8 1
9 82 9 0
9 82 10 0
9 82 11 0
9 82 12 0
9 82 13 0
9 82 14 0
9 82 15 0
9 82 16 0
9 82 17 0
9 82 18 0
9 82 19 0
9 82 20 0
9 82 21 1
9 82 22 1
9 83 8 1
9 83 9 0
9 83 10 0
9 83 11 0
9 83 12 0
9 83 13 0
9 83 14 0
9 83 15 0
9 83 16 0
9 83 17 0
9 83 18 0
9 83 19 0
9 83 20 0
9 83 21 0
9 83 22 0
9 83 23 4
9 84 7 1
9 84 8 1
9 84 9 0
