183 173 104
78 112 69 1
78 112 70 1
78 113 69 1
78 113 70 1
78 113 71 1
78 114 69 1
78 114 70 1
78 114 71 1
78 114 72 1
78 115 70 1
78 115 71 1
78 115 72 1
79 101 63 4
79 101 64 4
79 101 65 4
79 101 66 4
79 102 61 4
79 102 62 4
79 102 63 4
79 102 64 4
79 102 65 4
79 102 66 4
79 102 67 4
79 103 61 4
79 103 62 4
79 103 63 4
79 103 64 4
79 103 65 4
79 103 66 4
79 103 67 4
79 103 68 4
79 103 69 4
79 104 61 4
79 104 62 4
79 104 63 4
79 104 64 4
79 104 65 4
79 104 66 4
79 104 67 4
79 104 68 4
79 104 69 4
79 104 70 4
79 104 71 4
79 104 72 4
79 105 61 4
79 105 62 4
79 105 63 4
79 105 64 4
79 105 65 4
79 105 66 4
79 105 67 4
79 105 68 4
79 105 69 4
79 105 70 4
79 105 71 4
79 105 72 4
79 105 73 4
79 106 61 4
79 106 62 4
79 106 63 4
79 106 64 4
79 106 65 4
79 106 66 4
79 106 67 4
79 106 68 4
79 106 69 4
79 106 70 4
79 106 71 4
79 106 72 4
79 106 73 1
79 107 70 4
79 107 71 4
79 107 72 4
79 107 73 1
79 111 68 1
79 111 69 1
79 112 67 1
79 112 68 1
79 112 69 0
79 112 70 1
79 112 71 1
79 112 72 1
79 113 67 1
79 113 68 1
79 113 69 0
79 113 70 0
79 113 71 0
79 113 72 1
79 113 73 1
79 113 74 1
79 113 83 4
79 113 84 4
79 113 85 4
79 113 86 1
79 114 67 1
79 114 68 1
79 114 69 0
79 114 70 0
79 114 71 0
79 114 72 0
79 114 73 1
79 114 74 1
79 114 75 1
79 114 76 4
79 114 77 4
79 114 82 1
79 114 83 4
79 114 84 4
79 114 85 4
79 114 86 1
79 115 68 1
79 115 69 1
79 115 70 0
79 115 71 0
79 115 72 0
79 115 73 1
79 115 74 1
79 115 75 4
79 115 76 4
79 115 77 4
79 115 83 4
79 115 84 4
79 115 85 1
79 115 86 1
79 116 68 1
79 116 69 1
79 116 70 1
79 116 71 1
79 116 72 1
79 116 73 1
79 116 74 1
79 116 77 4
79 117 70 1
79 117 71 1
79 117 72 1
79 117 73 1
80 100 63 4
80 100 64 4
80 100 65 4
80 101 58 4
80 101 59 4
80 101 60 4
80 101 61 4
80 101 62 4
80 101 63 0
80 101 64 0
80 101 65 0
80 101 66 4
80 102 57 1
80 102 58 4
80 102 59 4
80 102 60 4
80 102 61 0
80 102 62 0
80 102 63 0
80 102 64 0
80 102 65 0
80 102 66 0
80 102 67 4
80 102 68 4
80 102 69 4
80 102 70 4
80 103 56 1
80 103 57 1
80 103 58 4
80 103 59 4
80 103 60 4
80 103 61 0
80 103 62 0
80 103 63 0
80 103 64 0
80 103 65 0
80 103 66 0
80 103 67 0
80 103 68 0
80 103 69 0
80 103 70 4
80 103 71 4
80 104 56 1
80 104 57 1
80 104 58 4
80 104 59 4
80 104 60 4
80 104 61 0
80 104 62 0
80 104 63 0
80 104 64 0
80 104 65 0
80 104 66 0
80 104 67 0
80 104 68 0
80 104 69 0
80 104 70 0
80 104 71 0
80 104 72 4
80 105 57 1
80 105 58 4
80 105 59 4
80 105 60 4
80 105 61 0
80 105 62 0
80 105 63 0
80 105 64 0
80 105 65 0
80 105 66 0
80 105 67 0
80 105 68 0
80 105 69 0
80 105 70 0
80 105 71 0
80 105 72 0
80 105 73 4
80 106 57 1
80 106 58 4
80 106 59 4
80 106 60 4
80 106 61 0
80 106 62 0
80 106 63 0
80 106 64 0
80 106 65 0
80 106 66 0
80 106 67 0
80 106 68 0
80 106 69 0
80 106 70 0
80 106 71 0
80 106 72 0
80 106 73 4
80 107 60 4
80 107 61 4
80 107 62 4
80 107 63 4
80 107 64 4
80 107 65 4
80 107 66 4
80 107 67 4
80 107 68 4
80 107 69 4
80 107 70 4
80 107 71 4
80 107 72 4
80 107 73 1
80 108 73 1
80 111 68 1
80 111 69 1
80 111 70 1
80 112 66 4
80 112 67 1
80 112 68 0
80 112 69 0
80 112 70 0
80 112 71 1
80 112 72 1
80 112 73 1
80 112 83 4
80 112 84 1
80 112 85 1
80 112 86 1
80 113 66 4
80 113 67 0
80 113 68 0
80 113 69 0
80 113 70 0
80 113 71 0
80 113 72 0
80 113 73 0
80 113 74 1
80 113 75 1
80 113 76 4
80 113 77 4
80 113 78 1
80 113 79 1
80 113 80 1
80 113 81 1
80 113 82 1
80 113 83 0
80 113 84 0
80 113 85 0
80 113 86 0
80 113 87 1
80 114 66 4
80 114 67 0
80 114 68 0
80 114 69 0
80 114 70 0
80 114 71 0
80 114 72 0
80 114 73 0
80 114 74 0
80 114 75 0
80 114 76 0
80 114 77 0
80 114 78 4
80 114 79 1
80 114 80 1
80 114 81 1
80 114 82 0
80 114 83 0
80 114 84 0
80 114 85 0
80 114 86 0
80 114 87 1
80 114 88 1
80 114 89 1
80 114 90 4
80 115 66 4
80 115 67 1
80 115 68 0
80 115 69 0
80 115 70 0
80 115 71 0
80 115 72 0
80 115 73 0
80 115 74 0
80 115 75 0
80 115 76 0
80 115 77 0
80 115 78 1
80 115 79 4
80 115 80 1
80 115 81 1
80 115 82 1
80 115 83 0
80 115 84 0
80 115 85 0
80 115 86 0
80 115 87 1
80 115 88 1
80 115 89 1
80 115 90 1
80 115 91 4
80 116 66 4
80 116 67 1
80 116 68 0
80 116 69 0
80 116 70 0
80 116 71 0
80 116 72 0
80 116 73 0
80 116 74 0
80 116 75 1
80 116 76 4
80 116 77 0
80 116 78 1
80 116 79 1
80 116 80 4
80 116 81 4
80 116 82 1
80 116 83 4
80 116 84 4
80 116 85 1
80 116 86 1
80 116 87 1
80 116 88 1
80 116 89 4
80 116 90 4
80 116 91 4
80 116 92 4
80 117 67 4
80 117 68 1
80 117 69 1
80 117 70 0
80 117 71 0
80 117 72 0
80 117 73 0
80 117 74 4
80 117 75 4
80 117 76 4
80 117 77 4
80 117 78 1
80 117 79 1
80 117 80 4
80 117 81 4
80 117 82 4
80 117 83 4
80 117 84 4
80 117 85 1
80 117 86 1
80 117 87 1
80 118 70 1
80 118 71 1
80 118 72 1
80 118 73 1
80 118 86 1
81 100 57 4
81 100 58 4
81 100 60 4
81 100 61 4
81 100 62 4
81 100 63 4
81 100 64 4
81 100 65 4
81 101 56 1
81 101 57 1
81 101 58 0
81 101 59 1
81 101 60 0
81 101 61 0
81 101 62 0
81 101 63 0
81 101 64 0
81 101 65 0
81 101 66 4
81 101 67 4
81 101 68 4
81 102 54 1
81 102 55 1
81 102 56 1
81 102 57 0
81 102 58 0
81 102 59 0
81 102 60 0
81 102 61 0
81 102 62 0
81 102 63 0
81 102 64 0
81 102 65 0
81 102 66 0
81 102 67 0
81 102 68 0
81 102 69 4
81 102 70 4
81 103 54 1
81 103 55 1
81 103 56 0
81 103 57 0
81 103 58 0
81 103 59 0
81 103 60 0
81 103 61 0
81 103 62 0
81 103 63 0
81 103 64 0
81 103 65 0
81 103 66 0
81 103 67 0
81 103 68 0
81 103 69 0
81 103 70 0
81 103 71 4
81 104 54 1
81 104 55 1
81 104 56 0
81 104 57 0
81 104 58 0
81 104 59 0
81 104 60 0
81 104 61 0
81 104 62 0
81 104 63 0
81 104 64 0
81 104 65 0
81 104 66 0
81 104 67 0
81 104 68 0
81 104 69 0
81 104 70 0
81 104 71 0
81 104 72 4
81 105 54 1
81 105 55 1
81 105 56 1
81 105 57 0
81 105 58 0
81 105 59 0
81 105 60 0
81 105 61 0
81 105 62 0
81 105 63 0
81 105 64 0
81 105 65 0
81 105 66 0
81 105 67 0
81 105 68 0
81 105 69 0
81 105 70 0
81 105 71 0
81 105 72 0
81 105 73 1
81 106 54 1
81 106 55 1
81 106 56 1
81 106 57 0
81 106 58 0
81 106 59 1
81 106 60 0
81 106 61 0
81 106 62 0
81 106 63 0
81 106 64 0
81 106 65 0
81 106 66 0
81 106 67 0
81 106 68 0
81 106 69 0
81 106 70 0
81 106 71 0
81 106 72 0
81 106 73 1
81 107 54 1
81 107 55 1
81 107 56 1
81 107 57 1
81 107 58 4
81 107 60 4
81 107 61 4
81 107 62 4
81 107 63 4
81 107 64 4
81 107 65 4
81 107 66 4
81 107 67 4
81 107 68 4
81 107 69 4
81 107 70 4
81 107 71 4
81 107 72 0
81 107 73 1
81 108 72 4
81 111 68 1
81 111 69 1
81 111 70 1
81 111 71 1
81 112 66 4
81 112 67 4
81 112 68 0
81 112 69 0
81 112 70 0
81 112 71 0
81 112 72 1
81 112 73 1
81 112 74 1
81 112 83 4
81 112 84 1
81 112 85 1
81 112 86 1
81 112 87 1
81 113 63 1
81 113 64 1
81 113 65 4
81 113 66 0
81 113 67 0
81 113 68 0
81 113 69 0
81 113 70 0
81 113 71 0
81 113 72 0
81 113 73 0
81 113 74 0
81 113 75 4
81 113 76 1
81 113 77 4
81 113 78 1
81 113 79 1
81 113 80 1
81 113 81 4
81 113 82 4
81 113 83 0
81 113 84 0
81 113 85 0
81 113 86 0
81 113 87 0
81 113 88 1
81 113 89 1
81 113 90 1
81 113 91 4
81 114 64 1
81 114 65 4
81 114 66 0
81 114 67 0
81 114 68 0
81 114 69 0
81 114 70 0
81 114 71 0
81 114 72 0
81 114 73 0
81 114 74 0
81 114 75 0
81 114 76 0
81 114 77 0
81 114 78 0
81 114 79 0
81 114 80 0
81 114 81 0
81 114 82 0
81 114 83 0
81 114 84 0
81 114 85 0
81 114 86 0
81 114 87 0
81 114 88 0
81 114 89 0
81 114 90 0
81 114 91 4
81 114 92 4
81 114 93 4
81 115 64 1
81 115 65 4
81 115 66 0
81 115 67 0
81 115 68 0
81 115 69 0
81 115 70 0
81 115 71 0
