38  54  19
17  44  4  7
18  43  4  1
19  42  4  7
16  41  5  7
16  42  5  7
16  43  5  7
16  44  5  1
16  45  5  7
17  41  5  7
17  42  5  1
17  43  5  1
17  44  5  0
17  45  5  7
18  41  5  7
18  42  5  1
18  43  5  0
18  44  5  1
18  45  5  1
19  41  5  7
19  42  5  0
19  43  5  1
19  44  5  1
19  45  5  7
20  41  5  7
20  42  5  7
20  43  5  7
20  44  5  7
20  45  5  7
21  42  5  5
21  43  5  5
13  39  6  7
13  40  6  1
14  38  6  7
14  39  6  7
14  40  6  7
14  41  6  7
14  42  6  7
15  38  6  7
15  39  6  7
15  40  6  1
15  41  6  1
15  42  6  7
15  43  6  1
15  44  6  7
16  39  6  7
16  40  6  7
16  41  6  0
16  42  6  0
16  43  6  0
16  44  6  0
16  45  6  7
17  40  6  1
17  41  6  0
17  42  6  0
17  43  6  0
17  44  6  0
17  45  6  7
18  40  6  7
18  41  6  0
18  42  6  0
18  43  6  0
18  44  6  0
18  45  6  0
18  46  6  7
19  40  6  7
19  41  6  0
19  42  6  0
19  43  6  0
19  44  6  0
19  45  6  0
19  46  6  5
20  41  6  7
20  42  6  0
20  43  6  0
20  44  6  0
20  45  6  0
20  46  6  5
21  41  6  7
21  42  6  5
21  43  6  7
21  44  6  7
21  45  6  7
21  46  6  7
10  39  7  7
11  38  7  7
11  39  7  7
11  40  7  7
12  37  7  7
12  38  7  7
12  39  7  1
12  40  7  1
12  41  7  7
13  36  7  7
13  37  7  7
13  38  7  1
13  39  7  0
13  40  7  0
13  41  7  1
13  42  7  1
13  43  7  7
14  36  7  7
14  37  7  1
14  38  7  0
14  39  7  0
14  40  7  0
14  41  7  0
14  42  7  0
14  43  7  1
14  44  7  7
15  36  7  7
15  37  7  1
15  38  7  0
15  39  7  0
15  40  7  0
15  41  7  0
15  42  7  0
15  43  7  0
15  44  7  0
15  45  7  7
16  37  7  7
16  38  7  1
16  39  7  0
16  40  7  0
16  41  7  0
16  42  7  0
16  43  7  0
16  44  7  0
16  45  7  0
16  46  7  7
17  38  7  7
17  39  7  7
17  40  7  0
17  41  7  0
17  42  7  0
17  43  7  0
17  44  7  0
17  45  7  0
17  46  7  7
18  39  7  7
18  40  7  0
18  41  7  0
18  42  7  0
18  43  7  0
18  44  7  0
18  45  7  0
18  46  7  1
19  39  7  7
19  40  7  0
19  41  7  0
19  42  7  0
19  43  7  0
19  44  7  0
19  45  7  0
19  46  7  1
20  40  7  7
20  41  7  0
20  42  7  0
20  43  7  0
20  44  7  0
20  45  7  0
20  46  7  1
21  41  7  7
21  42  7  0
21  43  7  0
21  44  7  0
21  45  7  0
21  46  7  1
22  42  7  5
22  43  7  7
22  44  7  1
22  45  7  1
10  37  8  7
10  38  8  7
10  39  8  7
10  40  8  7
10  41  8  7
11  36  8  7
11  37  8  1
11  38  8  0
11  39  8  0
11  40  8  0
11  41  8  1
11  42  8  7
12  35  8  7
12  36  8  1
12  37  8  0
12  38  8  0
12  39  8  0
12  40  8  0
12  41  8  0
12  42  8  1
12  43  8  7
13  35  8  7
13  36  8  0
13  37  8  0
13  38  8  0
13  39  8  0
13  40  8  0
13  41  8  0
13  42  8  0
13  43  8  0
13  44  8  7
14  35  8  7
14  36  8  0
14  37  8  0
14  38  8  0
14  39  8  0
14  40  8  0
14  41  8  0
14  42  8  0
14  43  8  0
14  44  8  0
14  45  8  5
15  35  8  7
15  36  8  0
15  37  8  0
15  38  8  0
15  39  8  0
15  40  8  0
15  41  8  0
15  42  8  0
15  43  8  0
15  44  8  0
15  45  8  7
16  35  8  7
16  36  8  5
16  37  8  0
16  38  8  0
16  39  8  0
16  40  8  0
16  41  8  0
16  42  8  0
16  43  8  0
16  44  8  0
16  45  8  0
16  46  8  7
17  36  8  7
17  37  8  7
17  38  8  0
17  39  8  0
17  40  8  0
17  41  8  0
17  42  8  0
17  43  8  0
17  44  8  0
17  45  8  0
17  46  8  1
18  37  8  7
18  38  8  7
18  39  8  0
18  40  8  0
18  41  8  0
18  42  8  0
18  43  8  0
18  44  8  0
18  45  8  0
18  46  8  1
19  39  8  7
19  40  8  0
19  41  8  0
19  42  8  0
19  43  8  0
19  44  8  0
19  45  8  0
19  46  8  1
20  40  8  7
20  41  8  0
20  42  8  0
20  43  8  0
20  44  8  0
20  45  8  0
20  46  8  1
21  41  8  5
21  42  8  1
21  43  8  1
21  44  8  0
21  45  8  1
21  46  8  1
22  44  8  1
9  36  9  7
9  37  9  7
9  38  9  7
9  39  9  7
9  40  9  7
9  41  9  7
10  35  9  7
10  36  9  1
10  37  9  0
10  38  9  0
10  39  9  0
10  40  9  0
10  41  9  0
10  42  9  7
11  34  9  7
11  35  9  1
11  36  9  0
11  37  9  0
11  38  9  0
11  39  9  0
11  40  9  0
11  41  9  0
11  42  9  0
11  43  9  7
12  34  9  7
12  35  9  0
12  36  9  0
12  37  9  0
12  38  9  0
12  39  9  0
12  40  9  0
12  41  9  0
12  42  9  0
12  43  9  7
13  34  9  7
13  35  9  0
13  36  9  0
13  37  9  0
13  38  9  0
13  39  9  0
13  40  9  0
13  41  9  0
13  42  9  0
13  43  9  0
13  44  9  7
14  34  9  7
14  35  9  0
14  36  9  0
14  37  9  0
14  38  9  0
14  39  9  0
14  40  9  0
14  41  9  0
14  42  9  0
14  43  9  0
14  44  9  0
14  45  9  7
15  34  9  7
15  35  9  0
15  36  9  0
15  37  9  0
15  38  9  0
15  39  9  0
15  40  9  0
15  41  9  0
15  42  9  0
15  43  9  0
15  44  9  0
15  45  9  7
16  35  9  5
16  36  9  0
16  37  9  0
16  38  9  0
16  39  9  0
16  40  9  0
16  41  9  0
16  42  9  0
16  43  9  0
16  44  9  0
16  45  9  1
17  35  9  7
17  36  9  0
17  37  9  0
17  38  9  0
17  39  9  0
17  40  9  0
17  41  9  0
17  42  9  0
17  43  9  0
17  44  9  0
17  45  9  1
18  36  9  7
18  37  9  1
18  38  9  0
18  39  9  0
18  40  9  0
18  41  9  0
18  42  9  0
18  43  9  0
18  44  9  0
18  45  9  1
19  38  9  7
19  39  9  0
19  40  9  0
19  41  9  0
19  42  9  0
19  43  9  0
19  44  9  0
19  45  9  1
20  39  9  7
20  40  9  7
20  41  9  0
20  42  9  0
20  43  9  0
20  44  9  1
20  45  9  1
21  41  9  1
21  42  9  1
21  43  9  1
21  44  9  1
7  37  10  7
7  38  10  7
7  39  10  7
7  40  10  7
8  36  10  7
8  37  10  1
8  38  10  1
8  39  10  1
8  40  10  7
9  34  10  7
9  35  10  7
9  36  10  0
9  37  10  0
9  38  10  0
9  39  10  0
9  40  10  0
9  41  10  7
10  34  10  7
10  35  10  0
10  36  10  0
10  37  10  0
10  38  10  0
10  39  10  0
10  40  10  0
10  41  10  0
10  42  10  7
10  43  10  5
11  33  10  7
11  34  10  0
11  35  10  0
11  36  10  0
11  37  10  0
11  38  10  0
11  39  10  0
11  40  10  0
11  41  10  0
11  42  10  0
11  43  10  7
12  33  10  1
12  34  10  0
12  35  10  0
12  36  10  0
12  37  10  0
12  38  10  0
12  39  10  0
12  40  10  0
12  41  10  0
12  42  10  0
12  43  10  0
12  44  10  7
13  32  10  7
13  33  10  7
13  34  10  0
13  35  10  0
13  36  10  0
13  37  10  0
13  38  10  0
13  39  10  0
13  40  10  0
13  41  10  0
13  42  10  0
13  43  10  0
13  44  10  0
13  45  10  7
14  32  10  7
14  33  10  1
14  34  10  0
14  35  10  0
14  36  10  0
14  37  10  0
14  38  10  0
14  39  10  0
14  40  10  0
14  41  10  0
14  42  10  0
14  43  10  0
14  44  10  0
14  45  10  1
15  32  10  7
15  33  10  1
15  34  10  0
15  35  10  0
15  36  10  0
15  37  10  0
15  38  10  0
15  39  10  0
15  40  10  0
15  41  10  0
15  42  10  0
15  43  10  0
15  44  10  0
15  45  10  7
16  33  10  7
16  34  10  7
16  35  10  0
16  36  10  0
16  37  10  0
16  38  10  0
16  39  10  0
16  40  10  0
16  41  10  0
16  42  10  0
16  43  10  0
16  44  10  7
17  35  10  7
17  36  10  0
17  37  10  0
17  38  10  0
17  39  10  0
17  40  10  0
17  41  10  0
17  42  10  0
17  43  10  0
17  44  10  1
18  36  10  7
18  37  10  0
18  38  10  0
18  39  10  0
18  40  10  0
18  41  10  0
18  42  10  0
18  43  10  0
18  44  10  1
19  36  10  7
19  37  10  7
19  38  10  0
19  39  10  0
19  40  10  0
19  41  10  0
19  42  10  0
19  43  10  1
19  44  10  1
20  38  10  7
20  39  10  7
20  40  10  1
20  41  10  1
20  42  10  1
20  43  10  1
6  36  11  7
6  37  11  7
6  38  11  7
6  39  11  7
6  40  11  7
7  35  11  7
7  36  11  1
7  37  11  0
7  38  11  0
7  39  11  0
7  40  11  0
7  41  11  7
8  34  11  7
8  35  11  1
8  36  11  0
8  37  11  0
8  38  11  0
8  39  11  0
8  40  11  0
8  41  11  1
8  42  11  4
9  33  11  7
9  34  11  0
9  35  11  0
9  36  11  0
9  37  11  0
9  38  11  0
9  39  11  0
9  40  11  0
9  41  11  0
9  42  11  4
10  32  11  7
10  33  11  1
10  34  11  0
10  35  11  0
10  36  11  0
10  37  11  0
10  38  11  0
10  39  11  0
10  40  11  0
10  41  11  0
10  42  11  0
10  43  11  7
11  31  11  7
11  32  11  7
11  33  11  0
11  34  11  0
11  35  11  0
11  36  11  0
11  37  11  0
11  38  11  0
11  39  11  0
11  40  11  0
11  41  11  0
11  42  11  0
11  43  11  7
12  31  11  7
12  32  11  1
12  33  11  0
12  34  11  0
12  35  11  0
12  36  11  0
12  37  11  0
12  38  11  0
12  39  11  0
12  40  11  0
12  41  11  0
12  42  11  0
12  43  11  0
12  44  11  7
12  45  11  7
13  31  11  7
13  32  11  0
13  33  11  0
13  34  11  0
13  35  11  0
13  36  11  0
13  37  11  0
13  38  11  0
13  39  11  0
13  40  11  0
13  41  11  0
13  42  11  0
13  43  11  0
13  44  11  0
13  45  11  7
14  31  11  5
14  32  11  0
14  33  11  0
14  34  11  0
14  35  11  0
14  36  11  0
14  37  11  0
14  38  11  0
14  39  11  0
14  40  11  0
14  41  11  0
14  42  11  0
14  43  11  0
14  44  11  0
14  45  11  7
15  31  11  5
15  32  11  0
15  33  11  0
15  34  11  0
15  35  11  0
15  36  11  0
15  37  11  0
15  38  11  0
15  39  11  0
15  40  11  0
15  41  11  0
15  42  11  0
15  43  11  0
15  44  11  0
15  45  11  7
16  32  11  7
16  33  11  0
16  34  11  0
16  35  11  0
16  36  11  0
16  37  11  0
16  38  11  0
16  39  11  0
16  40  11  0
16  41  11  0
16  42  11  0
16  43  11  0
16  44  11  7
17  32  11  7
17  33  11  5
17  34  11  1
17  35  11  0
17  36  11  0
17  37  11  0
17  38  11  0
17  39  11  0
17  40  11  0
17  41  11  0
17  42  11  0
17  43  11  0
17  44  11  1
18  33  11  7
18  34  11  7
18  35  11  1
18  36  11  0
18  37  11  0
18  38  11  0
18  39  11  0
18  40  11  0
18  41  11  0
18  42  11  0
18  43  11  1
19  36  11  7
19  37  11  0
19  38  11  0
19  39  11  0
19  40  11  0
19  41  11  0
19  42  11  1
20  37  11  7
20  38  11  7
20  39  11  7
20  40  11  5
20  41  11  1
6  36  12  5
6  37  12  7
6  38  12  7
6  39  12  7
6  40  12  7
7  34  12  5
7  35  12  5
7  36  12  0
7  37  12  0
7  38  12  0
7  39  12  0
7  40  12  0
7  41  12  7
8  33  12  5
8  34  12  0
8  35  12  0
8  36  12  0
8  37  12  0
8  38  12  0
8  39  12  0
8  40  12  0
8  41  12  7
9  32  12  5
9  33  12  0
9  34  12  0
9  35  12  0
9  36  12  0
9  37  12  0
9  38  12  0
9  39  12  0
9  40  12  0
9  41  12  0
9  42  12  4
10  31  12  7
10  32  12  0
10  33  12  0
10  34  12  0
10  35  12  0
10  36  12  0
10  37  12  0
10  38  12  0
10  39  12  0
10  40  12  0
10  41  12  0
10  42  12  7
11  31  12  7
11  32  12  0
11  33  12  0
11  34  12  0
11  35  12  0
11  36  12  0
11  37  12  0
11  38  12  0
11  39  12  0
11  40  12  0
11  41  12  0
11  42  12  7
12  31  12  7
12  32  12  0
12  33  12  0
12  34  12  0
12  35  12  0
12  36  12  0
12  37  12  0
12  38  12  0
12  39  12  0
12  40  12  0
12  41  12  0
12  42  12  0
12  43  12  1
12  44  12  7
12  45  12  7
13  31  12  7
13  32  12  0
13  33  12  0
13  34  12  0
13  35  12  0
13  36  12  0
13  37  12  0
13  38  12  0
13  39  12  0
13  40  12  0
13  41  12  0
13  42  12  0
13  43  12  0
13  44  12  0
13  45  12  0
13  46  12  7
14  31  12  7
14  32  12  0
14  33  12  0
14  34  12  0
14  35  12  0
14  36  12  0
14  37  12  0
14  38  12  0
14  39  12  0
14  40  12  0
14  41  12  0
14  42  12  0
14  43  12  0
14  44  12  0
14  45  12  0
14  46  12  7
15  31  12  7
15  32  12  0
15  33  12  0
15  34  12  0
15  35  12  0
15  36  12  0
15  37  12  0
15  38  12  0
15  39  12  0
15  40  12  0
15  41  12  0
15  42  12  0
15  43  12  0
15  44  12  1
15  45  12  7
16  31  12  7
16  32  12  0
16  33  12  0
16  34  12  0
16  35  12  0
16  36  12  0
16  37  12  0
16  38  12  0
16  39  12  0
16  40  12  0
16  41  12  0
16  42  12  1
16  43  12  1
17  32  12  7
17  33  12  0
17  34  12  0
17  35  12  0
17  36  12  0
17  37  12  0
17  38  12  0
17  39  12  0
17  40  12  0
17  41  12  0
17  42  12  1
17  43  12  1
18  33  12  7
18  34  12  5
18  35  12  7
18  36  12  1
18  37  12  0
18  38  12  0
18  39  12  0
18  40  12  0
18  41  12  1
18  42  12  1
19  37  12  7
19  38  12  0
19  39  12  0
19  40  12  0
19  41  12  1
20  37  12  7
20  38  12  0
20  39  12  0
20  40  12  7
21  38  12  5
21  39  12  7
5  39  13  7
5  40  13  7
5  41  13  7
5  42  13  7
6  36  13  4
6  37  13  5
6  38  13  1
6  39  13  0
6  40  13  0
6  41  13  7
6  42  13  7
6  43  13  7
7  34  13  5
7  35  13  5
7  36  13  0
7  37  13  0
7  38  13  0
7  39  13  0
7  40  13  0
7  41  13  0
7  42  13  7
7  43  13  7
8  33  13  1
8  34  13  0
8  35  13  0
8  36  13  0
8  37  13  0
8  38  13  0
8  39  13  0
8  40  13  0
8  41  13  0
8  42  13  1
9  32  13  4
9  33  13  1
9  34  13  0
9  35  13  0
9  36  13  0
9  37  13  0
9  38  13  0
9  39  13  0
9  40  13  0
9  41  13  0
9  42  13  7
10  31  13  1
10  32  13  0
10  33  13  0
10  34  13  0
10  35  13  0
10  36  13  0
10  37  13  0
10  38  13  0
10  39  13  0
10  40  13  0
10  41  13  7
11  31  13  7
11  32  13  0
11  33  13  0
11  34  13  0
11  35  13  0
11  36  13  0
11  37  13  0
11  38  13  0
11  39  13  0
11  40  13  0
11  41  13  1
12  31  13  7
12  32  13  0
12  33  13  0
12  34  13  0
12  35  13  0
12  36  13  0
12  37  13  0
12  38  13  0
12  39  13  0
12  40  13  0
12  41  13  1
12  42  13  1
13  31  13  5
13  32  13  0
13  33  13  0
13  34  13  0
13  35  13  0
13  36  13  0
13  37  13  0
13  38  13  0
13  39  13  0
13  40  13  0
13  41  13  1
13  42  13  1
13  43  13  1
13  44  13  7
13  45  13  7
13  46  13  7
13  47  13  7
13  48  13  7
14  31  13  5
14  32  13  0
14  33  13  0
14  34  13  0
14  35  13  0
14  36  13  0
14  37  13  0
14  38  13  0
14  39  13  0
14  40  13  0
14  41  13  0
14  42  13  1
14  43  13  1
14  44  13  0
14  45  13  0
14  46  13  0
14  47  13  1
14  48  13  7
14  49  13  4
15  31  13  7
15  32  13  0
15  33  13  0
15  34  13  0
15  35  13  0
15  36  13  0
15  37  13  0
15  38  13  0
15  39  13  0
15  40  13  0
15  41  13  1
15  42  13  1
15  43  13  1
15  44  13  1
15  45  13  7
15  46  13  1
15  47  13  1
15  48  13  7
16  31  13  7
16  32  13  0
16  33  13  0
16  34  13  0
16  35  13  0
16  36  13  5
16  37  13  0
16  38  13  0
16  39  13  0
16  40  13  1
16  41  13  1
16  46  13  7
16  47  13  7
16  48  13  7
17  31  13  7
17  32  13  0
17  33  13  0
17  34  13  0
17  35  13  7
17  36  13  1
17  37  13  1
17  38  13  7
17  39  13  1
17  40  13  1
17  41  13  1
18  31  13  7
18  32  13  7
18  33  13  7
18  34  13  7
18  37  13  1
18  38  13  1
