58 115 57
4 99 7 1
4 100 6 1
4 100 7 1
4 100 8 1
4 101 6 1
4 101 7 1
4 101 8 1
4 102 6 1
4 102 7 1
4 104 21 4
4 105 20 4
4 105 21 4
4 105 22 4
4 106 19 4
4 106 20 1
4 106 21 4
4 106 22 4
4 106 23 4
4 107 19 1
4 107 20 4
4 107 21 1
4 107 22 4
4 108 20 4
4 108 21 4
4 108 22 4
5 99 7 1
5 99 8 1
5 100 6 1
5 100 7 0
5 100 8 0
5 100 9 1
5 101 6 1
5 101 7 0
5 101 8 0
5 101 9 1
5 101 10 1
5 102 6 1
5 102 7 0
5 102 8 1
5 102 9 1
5 102 10 1
5 103 7 1
5 103 8 1
5 103 9 1
5 103 13 4
5 103 14 1
5 103 15 1
5 103 16 1
5 103 17 4
5 103 18 1
5 103 19 1
5 103 20 4
5 104 13 1
5 104 14 1
5 104 15 1
5 104 16 4
5 104 17 1
5 104 18 1
5 104 19 1
5 104 20 1
5 104 21 4
5 104 22 4
5 105 13 1
5 105 14 1
5 105 15 1
5 105 16 1
5 105 17 1
5 105 18 1
5 105 19 1
5 105 20 0
5 105 21 0
5 105 22 0
5 105 23 4
5 106 16 1
5 106 17 1
5 106 18 1
5 106 19 0
5 106 20 0
5 106 21 0
5 106 22 0
5 106 23 4
5 107 17 1
5 107 18 1
5 107 19 0
5 107 20 0
5 107 21 0
5 107 22 0
5 107 23 4
5 108 18 1
5 108 19 1
5 108 20 0
5 108 21 0
5 108 22 1
5 108 23 4
5 109 19 4
5 109 20 4
5 109 21 4
6 99 7 1
6 99 8 1
6 99 9 1
6 100 6 1
6 100 7 0
6 100 8 0
6 100 9 0
6 100 10 1
6 101 6 1
6 101 7 0
6 101 8 0
6 101 9 0
6 101 10 0
6 101 11 1
6 101 17 1
6 101 18 1
6 102 6 1
6 102 7 0
6 102 8 0
6 102 9 0
6 102 10 0
6 102 11 1
6 102 12 1
6 102 13 1
6 102 14 1
6 102 15 1
6 102 16 1
6 102 17 1
6 102 18 1
6 102 19 1
6 103 7 1
6 103 8 4
6 103 9 1
6 103 10 1
6 103 11 1
6 103 12 1
6 103 13 0
6 103 14 0
6 103 15 0
6 103 16 0
6 103 17 0
6 103 18 0
6 103 19 0
6 103 20 1
6 103 21 1
6 104 11 1
6 104 12 1
6 104 13 0
6 104 14 0
6 104 15 0
6 104 16 0
6 104 17 0
6 104 18 0
6 104 19 0
6 104 20 0
6 104 21 0
6 104 22 1
6 104 23 4
6 105 10 1
6 105 12 1
6 105 13 0
6 105 14 0
6 105 15 0
6 105 16 0
6 105 17 0
6 105 18 0
6 105 19 0
6 105 20 0
6 105 21 0
6 105 22 0
6 105 23 0
6 105 24 4
6 106 12 1
6 106 13 1
6 106 14 4
6 106 15 1
6 106 16 0
6 106 17 0
6 106 18 0
6 106 19 0
6 106 20 0
6 106 21 0
6 106 22 0
6 106 23 0
6 106 24 4
6 107 13 1
6 107 14 1
6 107 15 1
6 107 16 1
6 107 17 0
6 107 18 0
6 107 19 0
6 107 20 0
6 107 21 0
6 107 22 0
6 107 23 0
6 107 24 4
6 108 16 1
6 108 17 1
6 108 18 0
6 108 19 0
6 108 20 0
6 108 21 0
6 108 22 0
6 108 23 4
6 109 18 1
6 109 19 1
6 109 20 4
6 109 21 4
6 109 22 4
7 99 7 1
7 99 8 1
7 99 9 1
7 100 7 1
7 100 8 0
7 100 9 0
7 100 10 1
7 100 14 4
7 100 15 1
7 100 16 1
7 100 17 1
7 101 7 1
7 101 8 0
7 101 9 0
7 101 10 0
7 101 11 1
7 101 12 1
7 101 13 1
7 101 14 1
7 101 15 1
7 101 16 4
7 101 17 0
7 101 18 4
7 102 7 4
7 102 8 0
7 102 9 0
7 102 10 0
7 102 11 0
7 102 12 0
7 102 13 0
7 102 14 0
7 102 15 0
7 102 16 0
7 102 17 0
7 102 18 0
7 102 19 1
7 102 20 1
7 103 7 4
7 103 8 0
7 103 9 0
7 103 10 0
7 103 11 0
7 103 12 0
7 103 13 0
7 103 14 0
7 103 15 0
7 103 16 0
7 103 17 0
7 103 18 0
7 103 19 0
7 103 20 0
7 103 21 1
7 104 8 1
7 104 9 1
7 104 10 1
7 104 11 0
7 104 12 0
7 104 13 0
7 104 14 0
7 104 15 0
7 104 16 0
7 104 17 0
7 104 18 0
7 104 19 0
7 104 20 0
7 104 21 0
7 104 22 4
7 104 23 4
7 105 9 4
7 105 10 0
7 105 11 1
7 105 12 0
7 105 13 0
7 105 14 0
7 105 15 0
7 105 16 0
7 105 17 0
7 105 18 0
7 105 19 0
7 105 20 0
7 105 21 0
7 105 22 0
7 105 23 0
7 105 24 4
7 106 9 4
7 106 10 1
7 106 11 1
7 106 12 0
7 106 13 0
7 106 14 0
7 106 15 0
7 106 16 0
7 106 17 0
7 106 18 0
7 106 19 0
7 106 20 0
7 106 21 0
7 106 22 0
7 106 23 0
7 106 24 4
7 107 8 1
7 107 9 1
7 107 10 1
7 107 11 1
7 107 12 1
7 107 13 1
7 107 14 0
7 107 15 0
7 107 16 0
7 107 17 0
7 107 18 0
7 107 19 0
7 107 20 0
7 107 21 0
7 107 22 0
7 107 23 0
7 107 24 1
7 108 9 1
7 108 14 1
7 108 15 1
7 108 16 1
7 108 17 1
7 108 18 0
7 108 19 0
7 108 20 0
7 108 21 0
7 108 22 0
7 108 23 4
7 109 18 1
7 109 19 1
7 109 20 4
7 109 21 4
7 109 22 4
8 86 27 4
8 86 28 1
8 86 29 1
8 87 26 1
8 87 27 4
8 87 28 1
8 87 29 1
8 87 30 1
8 87 31 1
8 88 26 4
8 88 27 1
8 88 28 1
8 88 29 1
8 88 30 1
8 88 31 1
8 88 32 1
8 88 33 1
8 89 26 1
8 89 27 1
8 89 28 1
8 89 29 1
8 89 30 1
8 89 31 1
8 89 32 1
8 90 26 1
8 90 27 4
8 90 28 1
8 90 29 1
8 90 30 1
8 90 31 1
8 91 29 1
8 91 30 1
8 98 16 1
8 98 17 1
8 99 8 1
8 99 9 1
8 99 13 4
8 99 14 1
8 99 15 1
8 99 16 1
8 99 17 1
8 100 7 1
8 100 8 0
8 100 9 0
8 100 10 1
8 100 11 1
8 100 12 1
8 100 13 1
8 100 14 0
8 100 15 0
8 100 16 0
8 100 17 0
8 100 18 1
8 101 7 4
8 101 8 0
8 101 9 0
8 101 10 0
8 101 11 0
8 101 12 0
8 101 13 0
8 101 14 0
8 101 15 0
8 101 16 0
8 101 17 0
8 101 18 0
8 101 19 1
8 102 7 1
8 102 8 0
8 102 9 0
8 102 10 0
8 102 11 0
8 102 12 0
8 102 13 0
8 102 14 0
8 102 15 0
8 102 16 0
8 102 17 0
8 102 18 0
8 102 19 0
8 102 20 1
8 103 8 1
8 103 9 0
8 103 10 0
8 103 11 0
8 103 12 0
8 103 13 0
8 103 14 0
8 103 15 0
8 103 16 0
8 103 17 0
8 103 18 0
8 103 19 0
8 103 20 0
8 103 21 1
8 104 8 1
8 104 9 0
8 104 10 0
8 104 11 0
8 104 12 0
8 104 13 0
8 104 14 0
8 104 15 0
8 104 16 0
8 104 17 0
8 104 18 0
8 104 19 0
8 104 20 0
8 104 21 0
8 104 22 1
8 104 23 1
8 105 7 1
8 105 8 1
8 105 9 0
8 105 10 0
8 105 11 0
8 105 12 0
8 105 13 0
8 105 14 0
8 105 15 0
8 105 16 0
8 105 17 0
8 105 18 0
8 105 19 0
8 105 20 0
8 105 21 0
8 105 22 0
8 105 23 4
8 106 7 4
8 106 8 4
8 106 9 0
8 106 10 0
8 106 11 0
8 106 12 0
8 106 13 0
8 106 14 0
8 106 15 0
8 106 16 0
8 106 17 0
8 106 18 0
8 106 19 0
8 106 20 0
8 106 21 0
8 106 22 0
8 106 23 4
8 107 7 1
8 107 8 0
8 107 9 0
8 107 10 0
8 107 11 1
8 107 12 1
8 107 13 0
8 107 14 0
8 107 15 0
8 107 16 0
8 107 17 0
8 107 18 0
8 107 19 0
8 107 20 0
8 107 21 0
8 107 22 0
8 107 23 4
8 108 8 1
8 108 9 1
8 108 10 1
8 108 13 1
8 108 14 1
8 108 15 1
8 108 16 1
8 108 17 1
8 108 18 1
8 108 19 4
8 108 20 4
8 108 21 0
8 108 22 4
8 109 21 1
9 75 28 1
9 76 27 1
9 76 28 1
9 77 26 1
9 77 27 4
9 77 28 4
9 78 25 4
9 78 26 4
9 78 27 4
9 78 28 1
9 78 29 1
9 79 25 4
9 79 26 1
9 79 27 1
9 79 28 1
9 79 29 1
9 80 25 1
9 80 26 1
9 80 27 1
9 80 28 1
9 80 29 1
9 81 25 1
9 81 26 1
9 81 27 4
9 81 28 1
9 81 29 1
9 82 24 1
9 82 25 4
9 82 26 1
9 82 27 1
9 82 28 1
9 82 29 1
9 83 25 1
9 83 26 1
9 83 27 1
9 83 28 1
9 83 29 1
9 84 25 1
9 84 26 1
9 84 27 1
9 84 28 1
9 84 29 1
9 84 30 1
9 85 25 4
9 85 26 1
9 85 27 1
9 85 28 1
9 85 29 1
9 85 30 1
9 86 24 1
9 86 25 1
9 86 26 1
9 86 27 0
9 86 28 0
9 86 29 0
9 86 30 1
9 86 31 1
9 86 32 4
9 86 33 1
9 87 23 1
9 87 24 1
9 87 25 4
9 87 26 0
9 87 27 0
9 87 28 0
9 87 29 0
9 87 30 0
9 87 31 0
