139 149 52
6 68 15 4
6 68 16 4
6 68 17 4
6 69 15 4
6 69 16 4
6 69 17 4
6 70 16 4
6 70 17 1
7 67 15 4
7 68 14 4
7 68 15 0
7 68 16 4
7 68 17 4
7 68 25 1
7 68 26 1
7 68 27 1
7 69 14 4
7 69 15 0
7 69 16 0
7 69 17 4
7 69 24 1
7 69 25 1
7 69 26 1
7 69 27 1
7 69 28 1
7 70 15 4
7 70 16 0
7 70 17 0
7 70 18 1
7 70 25 1
7 70 26 1
7 70 27 1
7 70 28 1
7 71 16 4
7 71 17 4
7 71 18 1
7 71 26 1
8 64 25 4
8 64 26 1
8 65 22 1
8 65 23 1
8 65 24 1
8 65 25 1
8 65 26 1
8 65 27 1
8 66 22 1
8 66 23 1
8 66 24 1
8 66 25 1
8 66 26 1
8 66 27 1
8 66 28 1
8 67 14 4
8 67 15 1
8 67 16 4
8 67 22 1
8 67 23 1
8 67 24 1
8 67 25 1
8 67 26 1
8 67 27 1
8 67 28 1
8 67 29 1
8 68 14 4
8 68 15 0
8 68 16 0
8 68 17 4
8 68 21 1
8 68 22 1
8 68 23 1
8 68 24 1
8 68 25 0
8 68 26 0
8 68 27 0
8 68 28 1
8 68 29 1
8 68 30 1
8 69 14 4
8 69 15 0
8 69 16 0
8 69 17 0
8 69 18 4
8 69 22 1
8 69 23 1
8 69 24 0
8 69 25 0
8 69 26 0
8 69 27 0
8 69 28 0
8 69 29 1
8 69 30 4
8 70 15 4
8 70 16 0
8 70 17 0
8 70 18 0
8 70 19 1
8 70 22 1
8 70 23 1
8 70 24 1
8 70 25 0
8 70 26 0
8 70 27 0
8 70 28 0
8 70 29 1
8 70 30 1
8 71 16 4
8 71 17 4
8 71 18 0
8 71 19 1
8 71 22 1
8 71 23 1
8 71 24 1
8 71 25 1
8 71 26 0
8 71 27 1
8 71 28 1
8 71 29 1
8 71 30 1
8 72 18 4
8 72 19 1
8 72 23 1
8 72 24 1
8 72 25 1
8 72 26 1
8 72 27 1
8 72 28 1
8 72 29 1
8 72 30 1
8 73 23 1
8 73 24 1
8 73 25 1
8 73 26 1
8 73 27 1
8 73 28 1
8 73 29 1
8 74 24 1
8 74 25 1
8 74 26 1
8 74 27 1
8 74 28 1
8 75 24 1
8 75 25 1
8 100 44 4
8 100 45 4
8 101 43 1
8 101 44 4
8 101 45 4
8 102 43 4
8 102 44 4
8 102 45 1
8 103 43 4
8 103 44 4
8 103 45 1
8 104 43 4
8 104 44 4
8 104 45 1
8 105 44 4
8 105 45 1
9 62 23 1
9 62 24 1
9 62 25 4
9 62 26 1
9 63 22 1
9 63 23 1
9 63 24 1
9 63 25 4
9 63 26 1
9 63 27 1
9 64 21 1
9 64 22 1
9 64 23 1
9 64 24 1
9 64 25 0
9 64 26 0
9 64 27 1
9 64 28 1
9 65 21 1
9 65 22 0
9 65 23 0
9 65 24 0
9 65 25 0
9 65 26 0
9 65 27 0
9 65 28 1
9 65 29 1
9 65 30 1
9 66 20 1
9 66 21 1
9 66 22 0
9 66 23 0
9 66 24 0
9 66 25 0
9 66 26 0
9 66 27 0
9 66 28 0
9 66 29 1
9 66 30 1
9 66 31 1
9 67 13 4
9 67 14 4
9 67 15 4
9 67 16 4
9 67 20 1
9 67 21 1
9 67 22 0
9 67 23 0
9 67 24 0
9 67 25 0
9 67 26 0
9 67 27 0
9 67 28 0
9 67 29 0
9 67 30 1
9 67 31 1
9 68 14 1
9 68 15 0
9 68 16 0
9 68 17 4
9 68 18 1
9 68 20 1
9 68 21 0
9 68 22 0
9 68 23 0
9 68 24 0
9 68 25 0
9 68 26 0
9 68 27 0
9 68 28 0
9 68 29 0
9 68 30 0
9 68 31 1
9 69 14 4
9 69 15 0
9 69 16 0
